category,content,fairness,label,line_number
unc,"You may be exposed to User-Generated Content from a variety of sources, and that we are not responsible for the accuracy, usefulness, safety, or intellectual property rights of or relating to such User-Generated Content.",,unc,
unc,"You may be exposed to User-Generated Content shared by other athletes that is offensive, indecent, or otherwise objectionable.",,unc,
unc,We cannot be held responsible for any injury or harm to you resulting from objectionable User-Generated Content or another athlete’s failure to comply with our Community Guidelines.,,unc,
unc,"We respect copyright laws. If anything is wrong, please send an email with all the details to copyright@ua.com.",,unc,
unc,"If you believe that User-Generated Content or UA Content infringes copyright under U.S. or other national law, please notify our Copyright Agent immediately using the contact information provided herein. It is our policy to investigate any allegations of copyright infringement brought to our attention. Please provide us with the following information in your notice of a suspected copyright violation:",,unc,
unc,"Identification of the material that is claimed to be infringing, including its location, with sufficient detail so that we are capable of finding it and verifying its existence.",,unc,
unc,"Contact information for the notifying party (the “Notifying Party”), including name, address, telephone number, and email address.",,unc,
unc,"A statement that the Notifying Party has a good faith belief that the material is not authorized by the copyright owner, its agent or law.",,unc,
unc,A statement made under penalty of perjury that the information provided in the notice is accurate and that the Notifying Party is authorized to make the complaint on behalf of the copyright owner.,,unc,
unc,A physical or electronic signature of a person authorized to act on behalf of the owner of the copyright that has been allegedly infringed.,,unc,
unc,Your notice must be signed (physically or electronically) and must be addressed as follows:,,unc,
unc,"You acknowledge that if you fail to comply with all of the requirements of this section, your notice may not be valid. The information provided in a notice of copyright infringement may be forwarded to the athlete who posted the allegedly infringing content. In the U.S., under Section 512(f) of the DMCA, any person who knowingly materially misrepresents that material or activity is infringing may be subject to liability. Please see www.copyright.gov or www.chillingeffects.org/copyright for more information about how to prepare or respond to a DMCA notice.",,unc,
unc,"Our Services may link to, interact with or be available on third-party services or products such as social media providers and third-party devices. If you access such third-party services or products, be aware that different terms and privacy policies may apply to your usage of such services.",,unc,
unc,"You may enable or log in to the Services via various online third-party services, such as social media and social networking services like Facebook or Twitter (“Social Networking Services”). Logging in or directly integrating these Social Networking Services into the Services may make your online and mobile experiences richer and more personalized. To take advantage of these features and capabilities, we may ask you to authenticate, register for, or log into Social Networking Services on the websites of their respective providers. As part of this integration, the Social Networking Services will provide us with access to certain information that you have provided to them, and we will use, store, and disclose such information in accordance with our Privacy Policy. Please remember that the way Social Networking Services use, store, and disclose your information is governed solely by the policies of those third parties that operate those Social Networking Services, and we have no liability or responsibility for the privacy practices or other actions of any third-party website or service that may be enabled within the Services. In addition, we are not responsible for the accuracy, availability, or reliability of any information, content, goods, data, opinions, advice, or statements made available in connection with Social Networking Services. ",,unc,
unc,"You may be able to access certain third-party links, applications or content (“Third-Party Applications”) via accounts related to our Services. If you choose to access these Third-Party Applications, you may be requested to log-in and sync your accounts with such applications. You are in no way obligated to use any Third-Party Applications, and your access and use of such applications is entirely at your own risk. If you opt to use Third-Party Applications via your account with us, they may gain access to certain information that you have provided to us, including Personal Data, and they will use, store, and disclose such information in accordance with their individual privacy policies and terms and conditions. We have no liability or responsibility for the privacy and information security practices or other actions of any Third-Party Applications that you choose to access through your accounts with us. In addition, we are not responsible for the accuracy, availability, or reliability of any information, content, goods, data, opinions, advice, or statements made available by any Third-Party Applications. As such, we are not liable for any damage or loss caused or alleged to be caused by or in connection with the use of or reliance on any such Third-Party Applications.",,unc,
unc,"Our Services may contain links to third-party websites, content, advertisers, services, promotions, special offers, or other events or activities (“Third-Party Content”) that are not owned or controlled by us. We do not endorse or assume any responsibility for Third-Party Content. If you access or pay for Third-Party Content, you do so at your own risk and you agree that we have no associated liability.",,unc,
unc,"Our Services may be accessed on third-party devices or other products (“Third Party Products”), and your ability to use certain features of the Services may require you to purchase Third-Party Products (e.g., fitness trackers). While we may recommend, promote, or market the products of certain partners, we have no responsibility for your acquisition or use of any Third-Party Products, and we do not guarantee that Third-Party Products will function with the Services or will be error-free. We hereby disclaim liability for all Third-Party Products, including any Third-Party Products offered by our partners.",,unc,
unc,"Our Services may include the ability to discover, access or participate in certain services, activities, or events (“Third-Party Activities”). Third-Party Activities are offered and provided by Third Parties, not Under Armour. Your attendance at and participation in Third-Party Activities is solely at your own risk. Under Armour will not be liable for any act, error or omission of any Third Party, including, without limitation, any which arises out of or is any way connected with an athlete’s attendance, use of or participation in any Third-Party Activities initially discovered, booked or registered for via the Services, or the performance or non-performance of any Third Party in connection with the Services. Under Armour is not an agent of any provider of Third-Party Activities.",,unc,
unc,"While we strive to make our applications available on many platforms, we can’t guarantee that our applications are compatible with your device (though please let Customer Support know if you have a question or problem; we want to help). If you use our applications, your standard data and messaging rates will apply, and the rules of the app store from which you are downloading will also apply.",,unc,
unc,"To use or access our applications, you will need a compatible device. We also cannot guarantee that the applications will be compatible with, or available on, your device. We do not charge for use of some basic applications; however, you may need to pay some fees to use certain premium applications or features. Further, your phone company’s normal messaging, data, and other rates and fees will still apply.",,unc,
unc,"By downloading or using our applications, you expressly agree that we may communicate with you regarding transactions you have initiated on the Services or respond to your communications to us through the Services by SMS, MMS, text message, or other electronic means directed to your device and that certain information about your usage of the applications may be communicated to us.",,unc,
unc,"We hereby grant you a limited, personal, non-exclusive, non-transferable, non-sublicensable, revocable license to use our applications downloaded directly from a legitimate marketplace, solely in object code format and solely for your personal use for lawful purposes. With respect to any open source or third-party code that may be incorporated in the applications, such open source code is covered by the applicable open source or third-party license EULA, if any, authorizing use of such code.",,unc,
unc,"If you download our applications from a third-party app store (the “App Provider”), you acknowledge and agree that:",,unc,
unc,"The Terms are an agreement between us, and not with the App Provider. As between Under Armour and the App Provider, Under Armour is solely responsible for the applications;",,unc,
unc,The App Provider has no obligation to provide any maintenance and support services with respect to the applications;,,unc,
unc,"In the event of any failure of the applications to conform to any applicable warranty, (i) you may notify the App Provider and the App Provider may refund the purchase price for the applications to you (if applicable), (ii) to the maximum extent permitted by applicable law, the App Provider will have no other warranty obligation whatsoever with respect to the applications, and (iii) any other claims, losses, liabilities, damages, costs or expenses attributable to any failure to conform to any warranty will be, as between Under Armour and the App Provider, Under Armour’s responsibility;",,unc,
unc,The App Provider is not responsible for addressing any claims you have relating to the applications or your possession and use of the applications;,,unc,
unc,"If a third party claims that an application infringes another party’s intellectual property rights, as between the App Provider and Under Armour, Under Armour will be responsible for the investigation, defense, settlement and discharge of any such intellectual property infringement claim to the extent required by these Terms;",,unc,
unc,"The App Provider and its subsidiaries are third-party beneficiaries of these Terms as it relates to your license to the applications. Upon your acceptance of the terms and conditions of these Terms, the App Provider will have the right (and will be deemed to have accepted the right) to enforce these Terms as related to your license of the applications against you as a third-party beneficiary thereof; and",,unc,
unc,You must also comply with all applicable third-party terms of service when using the applications.,,unc,
unc,"If you choose to subscribe to any of our enhanced, paid services, these are the payment and billing terms that apply. Paid services and billing will auto-renew unless you cancel. You may cancel at any time.",,unc,
unc,"We offer certain premium versions of the Services (e.g., MVP Membership, MyFitnessPal and Endomondo Premium) (the “Premium Services”) for a fee. By signing up for and using any of the Premium Services, you agree to our Terms, and any additional terms and conditions that are provided here. You also agree to waive your 14-day right of withdrawal to the maximum extent permitted by applicable law, so that you are able to immediately access all of the Premium Services.",,unc,
unc,"The Premium Services provide you access to certain enhanced products, services, features and functionality (e.g., premium graphs and analysis, an ad-free browsing experience). By signing up for and using the Premium Services, including signing up for Free Trials of the Premium Services, you agree to pay any fees or other incurred charges that apply to the Premium Services (such as subscription fees).",,unc,
unc,"When you sign up for the Premium Services, you must designate and provide information about your preferred payment method (“Payment Method”). This information must be complete and accurate, and you are responsible for keeping it up to date. You expressly authorize us to collect from your Payment Method the appropriate fees charged for the Premium Services and for any other purchases you elect to make via the Services.",,unc,
unc,"You can choose to pay for the Premium Services on a monthly or annual basis. All fees due for the Premium Services are payable in advance, and will be billed automatically to the Payment Method at the start of the monthly or annual Premium Service period, as applicable. Unless otherwise stated, Premium Services will auto-renew until you elect to cancel your access to Premium Services. All purchases of Premium Services are final and non-refundable, except at our sole discretion and in accordance with the rules governing each Premium Service.",,unc,
ter,"If you do not pay the fees or charges due for your use of the Premium Services, we may make reasonable efforts to notify you and resolve the issue; however, we reserve the right to disable or terminate your access to the Premium Services (and may do so without notice).",2,ter2,
unc,"You can cancel the Premium Services at any time. More information on how to cancel can be found here. Once you have cancelled your Premium Service and received confirmation, no other changes can be made to your account. The cancellation of a Premium Service will go into effect at the end of your current billing cycle, and you will have the same level of access to the Premium Service through the remainder of such billing cycle. For example, if you are billed on a monthly basis and cancel during a given month, you will be charged for the entirety of that month and maintain access to the Premium Service through the end of that month.",,unc,
unc,"There are no refunds for termination or cancellation of your Premium Service. If you no longer wish to subscribe to a Premium Service, it is your responsibility to cancel your Premium Service in due time, regardless of whether or not you actively use the Premium Service.",,unc,
ch,"To the maximum extent permitted by applicable laws, we may change our prices for Premium Services at any time.",2,ch2,
unc,"If you have received a discount, coupon or gift code to a Premium Service, the following terms and conditions apply in addition to the terms and conditions of the specific code. To redeem a discount or coupon code, log in to the applicable Service and enter the applicable code in the purchasing process to take advantage of the relevant promotion. All discounts, gift and coupon codes can only be applied when subscribing to Premium Services, and they can only be applied to accounts that are not already subscribing to Premium Services. Discount, coupon and gift codes cannot be combined with any other cash-off price, sales, promotion or coupon. Discount, coupon and gift codes cannot be exchanged, refunded, replaced or redeemed for cash or payment of accounts. A payment method may be required to redeem a discount or coupon code. It is your own responsibility to use a discount, coupon or gift code before it expires, and expired codes cannot be refunded or extended. It is also your responsibility to terminate the Premium Service before the end of a free or discounted period if you do not want to continue with a Premium Service at the regular price. The terms and conditions of a specific discount, coupon or gift code may include additional restrictions on its use, including but not limited to the type of plan, duration of free or discounted Premium Service, coupon validity dates, and/or purchase quantities. ",,unc,
unc,"We sometimes offer free trials of our Premium Services or other promotional offers (each a “Free Trial”). A Free Trial provides you access to the Premium Services for a period of time, with details specified when you sign up for the offer.",,unc,
unc,"In order to sign up for a Free Trial, you may need to provide us with your preferred payment method. As soon as you submit your payment details, your Free Trial will begin. You will not be charged until the Free Trial period ends.",,unc,
unc,"Unless you cancel before the end of the Free Trial, or unless otherwise stated, your access to the Premium Service will automatically continue and you will be billed the applicable fees for that Premium Service. All incurred charges are final and non-refundable, except at our sole discretion and in accordance with the rules governing each Premium Service. We may send you a reminder when your Free Trial is about to end, but we do not guarantee any such notifications. It is ultimately your responsibility to know when the Free Trial will end if you decide you do not want to become a paying Premium Services athlete after the Free Trial period.",,unc,
unc,"If you decide that you do not want to become a paying Premium Services athlete, you must cancel your subscription before the end of the Free Trial period. Depending on which of our Premium Services for which you have a Free Trial, you may lose access to the Premium Service as soon as you cancel or at the end of the Free Trial period. Once you have cancelled your Free Trial and received confirmation, you cannot resume the Free Trial period even if you did not use the Premium Service for the entire duration of the offer.",,unc,
ch,"Premium Service features and content may change at any time, and we cannot guarantee that any specific feature or content will be available for the entire Free Trial period.",2,ch2,
ch,"We reserve the right, in our absolute discretion, to modify or terminate any Free Trial offer, your access to the Premium Services during the Free Trial, or any of these terms without notice and with no liability.",2,ch2,
ter,"We reserve the right, in our absolute discretion, to modify or terminate any Free Trial offer, your access to the Premium Services during the Free Trial, or any of these terms without notice and with no liability.",3,ter3,
ltd,"We reserve the right, in our absolute discretion, to modify or terminate any Free Trial offer, your access to the Premium Services during the Free Trial, or any of these terms without notice and with no liability.",2,ltd2,
unc,"If you buy things through Under Armour Shopping, we require you to provide additional Personal and Payment Method Information in order to complete your purchase. Additional e-commerce terms and conditions may apply to Under Armour Shopping. You can find these terms and conditions here. We also aim to provide information about our refund, exchange, re-stocking, taxes, shipping, and related policies at or near the point of purchase. If you have questions related to Under Armour Shopping, please contact our Support Team. Please review these policies prior to making purchases through Under Armour Shopping.",,unc,
unc,"It’s important to us that athletes stay healthy while training. Please be responsible and use your best judgment and common sense. We provide our Services for information purposes only, and can’t be held liable if you get injured or something goes wrong. In particular, while most of the content posted by the other athletes in our community is helpful, it is coming from strangers on the Internet and should never trump good judgment or actual medical advice.",,unc,
unc,"Under Armour cares about your safety. You should consult with your healthcare provider(s) and consider the associated risks before using our Services in connection with any physical activity, wellness or fitness program. By using our Services, you agree, represent and warrant that you have received consent from your physician to participate in wellness and fitness programs, workouts, exercises or any of the related activities made available to you in connection with the Services. Everyone’s condition and abilities are different, and participating in the activities promoted by our Services is at your own risk. If you choose to participate in these activities, you do so of your own free will and accord, knowingly and voluntarily assuming all risks associated with such activities. Activities promoted by the Services may pose risks even to those who are currently in good health.",,unc,
unc,"You understand and agree that we will not carry out and are not responsible for any physical inspection, supervision, preparation, execution or conduct of any activities related to or accessed or discovered via the Services (e.g., featured, official or community created challenges; routes; friendly competitions or similar activities; any single or group training activities; any Third-Party Activities or other events or activities that utilize our Services). Maps, directions and other GPS or navigation data, including data relating to your current location, may be unavailable, inaccurate or incomplete. We encourage you to always put safety first, follow applicable traffic regulations, do not change settings on your device while in motion or in unsafe areas and always be vigilant and take stock of your surroundings when exercising.",,unc,
unc,"You expressly agree that your athletic activities, which may generate the User-Generated Content you post or seek to post on or via the Services (e.g., running, walking, cycling, hiking) and certain Third-Party Activities carry certain inherent and significant risks of property damage, bodily injury, or death and that you voluntarily assume all known and unknown risks associated with these activities, even if caused in whole or part by the action, inaction, or negligence of Under Armour or by the action, inaction, or negligence of others.",,unc,
ltd,"Except as otherwise set out in these Terms, and to the maximum extent permitted by applicable law, we are not responsible or liable, either directly or indirectly, for any injuries or damages that are sustained from your physical activities or your use of, or inability to use, any Services or features of the Services, including any Content or activities that you access or learn about through our Services (e.g., a Third-Party Activity such as a yoga class), even if caused in whole or part by the action, inaction or negligence of Under Armour or by the action, inaction or negligence of others.",3,ltd3,
ltd,"To the maximum extent permitted by applicable law, you also expressly agree that we do not assume responsibility for any Third-Party Activity or any other race, contest, class, athletic activity or event that utilizes or is promoted by or accessed via the Services.",2,ltd2,
unc,"We aim to provide useful general information for our community, not professional medical advice. The Services are not medical devices, and the data provided by them is not intended to be utilized for medical purposes and is not intended to diagnose, treat, cure or prevent any disease, ailment or injury. To the maximum extent permitted by applicable law, you expressly agree that we are not providing medical advice via the Services. All Content provided through the Services, whether provided by us or by other athletes or third parties (even if they are claiming to be a doctor!) is not intended to be and should not be used in place of (a) the advice of your physician or other professionals, (b) a visit, call or consultation with your physician or other medical professionals, or (c) information contained on or in any product packaging or label. We are not responsible for any health problems that may result from training programs, consultations, products, or events you learn about through the Services. Should you have any health related questions, please call or see your physician or other healthcare provider promptly. If you have an emergency, call your physician or your local emergency services immediately.",,unc,
unc,"Your use of the Services does not constitute or create a doctor-patient, therapist-patient or other healthcare professional relationship between Under Armour and you.",,unc,
unc,"The Services are intended to provide you with information to encourage you to support your wellness and fitness activities. Some of the Services are aimed at tracking your physical movements and sleep activity (“Activity Tracking Services”). These Activity Tracking Services rely on sensors and/or GPS functionality that track your movement or body at rest. The data and information provided by the Activity Tracking Services are intended to be a representation of your activity, but may not be completely accurate, including with respect to step, sleep, speed, distance, or calorie data.",,unc,
ch,"As Under Armour grows and improves, we might have to make changes to these Terms or include additional terms that are specific to certain products.",2,ch2,
ch,"Under Armour reserves the right to modify these Terms by (i) posting revised Terms on and/or through the Services, and/or (ii) providing advance notice to you of material changes to the Terms, generally via email where practicable, and otherwise through the Services (such as through a notification on the home page of the Under Armour websites or in our applications).",2,ch2,
unc,"We may sometimes ask you to review and to explicitly agree to or reject a revised version of the Terms. In such cases, modifications will be effective at the time of your agreement to the modified version of the Terms. If you do not agree at that time, you are not permitted to use the Services. In cases where we do not ask for your explicit agreement to a modified version of the Terms, the modified version of the Terms will become effective as of the date specified in the Terms. ",,unc,
unc,"We may also require you to agree to additional terms, rules, policies, guidelines, or other conditions (collectively, “Product-Specific Terms”) that are specific to certain Services (for example, the Commercial Tools). In such cases, you may be required to expressly consent to Product-Specific Terms. For instance, you might need to check a box or click on a button marked “I agree.” If any of the Product-Specific Terms are different than the Terms, the Product-Specific Terms will supplement, amend, or supersede the Terms, but only with respect to the subject matter of the Product-Specific Terms.",,unc,
unc,"EXCEPT WHERE PROHIBITED BY LAW, UNDER ARMOUR EXPRESSLY DISCLAIMS ALL WARRANTIES, REPRESENTATIONS AND GUARANTEES OF ANY KIND, WHETHER ORAL OR WRITTEN, EXPRESS, IMPLIED, STATUTORY OR OTHERWISE, INCLUDING, BUT NOT LIMITED TO THE IMPLIED WARRANTIES OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE AND NON-INFRINGEMENT TO THE FULLEST EXTENT PERMISSIBLE UNDER THE LAW. THE SERVICES AND ALL CONTENT ARE PROVIDED ON AN “AS IS” AND “AS AVAILABLE” WITH ALL FAULTS BASIS. Without limiting the foregoing, you understand that, to the maximum extent permitted by applicable law, we make no warranty regarding the quality, accuracy, timeliness, truthfulness, completeness or reliability of any of the Services or any Content. To the maximum extent permitted by applicable law, we do not warrant that (i) the Services will meet your requirements, (ii) the operation of the Services will be uninterrupted, virus- or error-free or free from other harmful elements or (iii) errors will be corrected. Any oral or written advice provided by our agents or us does not and will not create any warranty. To the maximum extent permitted by applicable law, we also make no representations or warranties of any kind with respect to Content; User-Generated Content, in particular, is provided by and is solely the responsibility of the athletes providing that Content. No advice or information, whether oral or written, obtained from other athletes or through the Services, will create any warranty not expressly made herein. You therefore expressly acknowledge and agree that use of the Services is at your sole risk and that the entire risk as to satisfactory quality, performance, accuracy and effort is with you.",,unc,
unc,We are building the best Services we can for you but we can't promise they will be perfect. We're not liable for various things that could go wrong as a result of your use of the Services.,,unc,
ltd,"To the maximum extent permitted by applicable law, under no circumstances (including, without limitation, negligence) shall Under Armour, its subsidiaries, partners or any wireless carriers be liable to you or any third party for (a) any indirect, incidental, special, reliance, exemplary, punitive, or consequential damages of any kind whatsoever; (b) loss of profits, revenue, data, use, goodwill, or other intangible losses; (c) damages relating to your access to, use of, or inability to access or use the Services; (d) damages relating to any conduct or content of any third party or athlete using the Services, including without limitation, defamatory, offensive or illegal conduct or content; and/or (e) damages in any manner relating to any Third-Party Content, Third-party Products or Third-Party Activities accessed via the Services.",2,ltd2,
ltd,"To the maximum extent permitted by applicable law, this limitation applies to all claims, whether based on warranty, contract, tort, or any other legal theory, whether or not Under Armour has been informed of the possibility of such damage, and further where a remedy set forth herein is found to have failed its essential purpose.",2,ltd2,
ltd,"To the maximum extent permitted by applicable law, the total liability of Under Armour, for any claim under these Terms, including for any implied warranties, is limited to the greater of one thousand dollars (us $1,000.00) or the amount you paid us to use the applicable Service(s) in the past twelve months.",2,ltd2,
ltd,"In particular, to the extent permitted by applicable law, we are not liable for any claims arising out of (a) your use of the Services (including but not limited to your participation in any activities promoted by or accessed via the Services), (b) the use, disclosure, display, or maintenance of an athlete’s Personal Data and/or Location Data, (c) any other interactions with us or any other athletes using the Services, even if we have been advised of the possibility of such damages, or (d) other Content, information, services or goods received through or advertised on the Services or received through any links provided with the Services.",2,ltd2,
unc,"To the extent permitted by applicable law, you acknowledge and agree that we offer the Services and set the Services’ prices in reliance upon the warranty disclaimers, releases, and limitations of liability set forth in the Terms. To the extent permitted by applicable law, you also acknowledge and agree that these warranty disclaimers, releases, and limitations of liability reflect a reasonable and fair allocation of risk between you and us and that these warranty disclaimers, releases, and limitations of liability form an essential basis of the bargain between you and us. We would not be able to provide the Services to you on an economically reasonable basis without these warranty disclaimers, releases, and limitations of liability.",,unc,
unc,"If you are a resident of California: You waive your rights with respect to California Civil Code Section 1542, which says “a general release does not extend to claims which the creditor does not know or suspect to exist in his favor at the time of executing the release, which, if known by him must have materially affected his settlement with the debtor.”",,unc,
unc,"If we are sued because of your access or use of the Services, you have to pay our costs.",,unc,
unc,"If you are a resident of the United States or any country other than France or Germany: To the maximum extent permitted by applicable law, you agree to indemnify and hold Under Armour, its subsidiaries, suppliers and other partners harmless from any claim or demand, including reasonable accounting and attorneys’ fees, made by any third party due to or arising out of (a) the User-Generated Content you access or share through the Services; (b) your use of the Services, (c) your athletic activities in connection with the Services (including, but not limited to, athletic activities in connection with any contests, races, group activities, Third-Party Activities or other events that we may sponsor, organize, participate in, or where the Services are employed), (d) your connection to the Services, (e) your violation of these Terms, (f) your use or misuse of any athlete’s Personal Data and Location Data, (g) any violation of the rights of any other person or entity by you, or (h) your employment of the Services to meet another athlete in person or to locate and attend any offline place or event. We reserve the right, at your expense, to assume the exclusive defense and control of any matter for which you are required to indemnify us under the Terms, and you agree to cooperate with our defense of these claims.",,unc,
unc,"If you are a resident of France or Germany: Notwithstanding the previous paragraph, you agree to indemnify and hold Under Armour, its subsidiaries, suppliers and other partners harmless from any claim or demand as result of your negligent or intentional behavior, including reasonable accounting and attorneys’ fees, made by any third party due to or arising out of (a) the User-Generated Content you access through the Services; (b) your violation of these Terms, (c) your use or misuse of any athlete’s Personal Data and Location Data, (d) any violation of the rights of any other person or entity by you, or (e) your employment of the Services to meet another athlete in person or to locate and attend any offline place or event. We reserve the right, at your expense, to assume the exclusive defense and control of any matter for which you are required to indemnify us under the Terms, and you agree to cooperate with our defense of these claims.",,unc,
law,"If you are a resident of the United States or any non-European Union country: These Terms shall be governed by and construed in accordance with the laws of the State of Maryland and controlling U.S. federal law as applicable, without regard to its conflict of law principles.",2,law2,
law,"If you are a resident of the European Union: These Terms shall be governed by and construed in accordance with Dutch law, without regard to its conflict of law principles.",2,law2,
law,"If you are a resident of Canada: Notwithstanding anything to the contrary herein, with respect to any purchase using a Visa credit card at Under Armour’s Canada website, these Terms shall be governed by and construed in accordance with Canadian law, without regard to its conflict of law principles.",2,law2,
unc,"If we have a problem, let’s practice good sportsmanship and resolve the dispute through arbitration.",,unc,
unc,"To the maximum extent permitted by applicable law, you and Under Armour agree that any dispute resolution proceedings will be conducted only on an individual basis and not in a class, consolidated or representative action. ",,unc,
unc,"Any arbitration between you and us, to the extent necessary, will be conducted in Baltimore, Maryland, and you waive any right to claim that such location is an inconvenient forum. You agree not to sue us or bring arbitration in any other forum.",,unc,
unc,"The arbitration will be conducted in English. A single independent and impartial arbitrator will be appointed pursuant to the rules of the American Arbitration Association. Both you and we agree to comply with the following rules, which are intended to streamline the dispute resolution process and reduce the costs and burdens for everyone involved:",,unc,
unc,"the arbitration will be conducted by telephone, online and/or be solely based on written submissions, the specific manner to be chosen by the party initiating the arbitration;",,unc,
unc,the arbitration will not require any personal appearance by the parties or witnesses unless otherwise mutually agreed in writing by the parties; and,,unc,
unc,any judgment on the award rendered by the arbitrator may be entered in any court of competent jurisdiction.,,unc,
unc,"Barring extraordinary circumstances, the arbitrator will issue his or her decision within 120 days from the date the arbitrator is appointed. The arbitrator may extend this time limit for an additional 30 days in the interests of justice. All arbitration proceedings will be closed to the public and confidential and all records relating thereto will be permanently sealed, except as necessary to obtain court confirmation of the arbitration award. The award of the arbitrator will be in writing and will include a statement describing the reasons for the disposition of any claim.",,unc,
unc,"You also acknowledge and understand that, with respect to any dispute with us arising out of or relating to your use of the Services:",,unc,
unc,You are giving up your right to have a trial by jury;,,unc,
unc,"You are giving up your right to serve as a representative, as a private attorney general, or in any other representative capacity, or to participate as a member of a class of claimants, in any lawsuit involving any such dispute; and",,unc,
unc,You must file any claim within one (1) year after such claim arose or it is forever barred.,,unc,
j,"If this arbitration provision is found to be null and void, then all disputes arising under the Terms between us will be subject to the jurisdiction of the state and federal courts located in Baltimore, Maryland, and you and we hereby submit to the personal jurisdiction and venue of these courts.",3,j3,
unc,"This agreement to arbitrate will not preclude you or Under Armour from seeking provisional remedies in aid of arbitration, including without limitation orders to stay a court action, compel arbitration or confirm an arbitral award, from a court of competent jurisdiction. Furthermore, this agreement to arbitrate will not preclude you or Under Armour from (i) applying to the appropriate court of competent jurisdiction for a temporary restraining order, preliminary injunction, or other interim or conservatory relief, as necessary, or (ii) seeking relief in any state or federal court for disputes related to a violation or possible violation of Under Armour’s intellectual property rights.",,unc,
unc,"In the event of any litigation or arbitration arising from or related to these Terms, or the Services provided, the prevailing party shall be entitled to recover from the non-prevailing party all reasonable costs incurred including staff time, court costs, attorneys’ fees, and all other related expenses incurred in such litigation or arbitration.",,unc,
unc,"If you are a resident of the European Union: Notwithstanding anything in these Terms to the contrary, if there is a dispute that you and Under Armour cannot resolve, you have the right to submit a complaint through http://ec.europa.eu/consumers/odr.Other than as set out in these Terms, we do not participate in any ADR scheme.",,unc,
j,"In addition, nothing in these Terms limits your rights to bring an action against Under Armour in the local courts of your place of domicile.",1,j1,
j,"All disputes arising under the Terms between you and Under Armour will be subject to the non-exclusive jurisdiction of the courts located in your place of domicile, or the courts located in the Netherlands, and you and we hereby submit to the personal jurisdiction and venue of these courts.",1,j1,
unc,"If you are a resident of Finland: Notwithstanding anything in these Terms to the contrary, if there is a dispute that you and Under Armour cannot resolve, you have the right to submit a complaint to the local Consumer Disputes Board (www.kuluttajariita.fi) or other corresponding body.",,unc,
unc,"If you are a resident of Denmark: Notwithstanding anything in these Terms to the contrary, if there is a dispute that you and Under Armour cannot resolve, you have the right to submit a complaint to the Danish Competition and Consumer Authority (Konkurrence- og Forbrugerstyrelsen, Center for Klageløsning, Carl Jacobsens Vej 35, 2500 Valby, mail: cfk@kfst.dk).",,unc,
unc,"If you are a resident of South Korea: Notwithstanding anything in these Terms to the contrary, nothing in these Terms limits your rights to bring an action against Under Armour in the local courts of your place of domicile.",,unc,
unc,"If you are not a United States resident and you are accessing our Services from outside the United States, you agree to transfer certain information outside your home country to us, and that you will follow all the laws that apply to you.",,unc,
unc,"We provide our Services for a global community of athletes. Our servers and operations are, however, located primarily in the United States, and our policies and procedures are based primarily on United States law. Because of this, the following provisions apply specifically to athletes located outside of the United States: (i) you consent to the transfer, storage, and processing of your information, including but not limited to User-Generated Content and any Personal Data, to and in the United States and/or other countries; (ii) if you are using the Services from a country embargoed by the United States, or are on the United States Treasury Department’s list of “Specially Designated Nationals,” you are not authorized to access or make use of the Services; and (iii) you agree to comply with all local laws, rules, and regulations including, without limitation, all laws, rules, and regulations in effect in the country in which you reside and the country from which you access the Services. The Services are not intended for distribution to, or use by, any person or entity in any jurisdiction or country where such distribution or use would be contrary to law or regulation, or which that would subject Under Armour or its affiliates to any registration requirement within such jurisdiction or country.",,unc,
unc,"If you are a resident of the European Union, Hong Kong, Russia, New Zealand or South Korea: Notwithstanding anything in these Terms to the contrary, please note that certain jurisdictions may not allow the waiver or limitation of certain warranties, liabilities or damages under mandatory law, so some of the exclusions and limitations in these Terms may not apply to you. Nothing in these Terms limits or excludes our responsibility for (1) fraudulent representations made by us, (2) death or personal injury caused by our negligence or willful misconduct, or (3) non-execution of any material contractual obligation.",,unc,
unc,"If you are a resident of New Zealand: Notwithstanding anything in these Terms to the contrary, nothing in these Terms limits or excludes our liability or your rights if you are a consumer for the purposes of the Consumer Guarantees Act 1993, or the Fair Trading Act 1986.",,unc,
unc,"If you are a resident of Germany, France, Austria or Finland: Notwithstanding anything in these Terms to the contrary, the qualifier “to the maximum extent permitted by law” and other qualifiers of similar effect shall be deemed to be deleted from the Terms everywhere it appears and shall have no force and effect.",,unc,
unc,"If you are a resident of South Korea: The Under Armour contracting party for Under Armour Shopping is Under Amour Korea, Ltd. You must be at least 14 to use Under Armour Shopping. If you are between the ages of 14 and 18, you or your legal representative may cancel the applicable sales contract created pursuant to Under Amour Shopping if your legal representative has not consented to such sales contract. Further, notwithstanding anything in these Terms to the contrary, any modification to these Terms will be announced on the website prior to the effective date thereof; provided if you do not express intent to refuse such modification or change after a reasonable period of time following such announcement, it is deemed that you have consented to such modification or change.",,unc,
unc,If you are a resident of Turkey: Certain of the e-commerce terms and conditions set forth in Appendix A: UA Shopping do not pertain to Turkish residents who purchase products from our Turkish distributor FDOĞUŞ PERAKENDE (Doğuş Perakende Satış Giyim ve Aksesuar Tic. A.Ş.) at http://www.underarmour.com.tr.,,unc,
unc,"For Turkish users shopping on http://www.underarmour.com.tr, only those terms and conditions agreed to by such users that are valid under Turkish law will apply.",,unc,
